t,Temp,P,KE,PE,E,Vol
30300,336.105665176608,4387.0732086078,21.8528687090731,-2134.59439997099,-2112.74153126192,7745.27052663881
30310,335.630971027239,4505.08945363754,21.8220051146802,-2134.56353693461,-2112.74153181993,7745.27052663881
30320,333.62174491995,4537.86269273781,21.6913695471234,-2134.43281832571,-2112.74144877858,7745.27052663881
30330,331.785917592852,4472.70252469619,21.5720079959561,-2134.31338742208,-2112.74137942612,7745.27052663881
30340,331.642539979596,4354.29176973912,21.5626858913832,-2134.30405199641,-2112.74136610503,7745.27052663881
30350,333.443485555681,4331.11223706916,21.6797795059931,-2134.42117783043,-2112.74139832444,7745.27052663881
30360,336.379547622121,4470.01728729841,21.8706759576369,-2134.61212237723,-2112.74144641959,7745.27052663881
30370,339.133608760642,4774.76512937662,22.0497390997153,-2134.79125296109,-2112.74151386137,7745.27052663881
30380,340.047575449104,5153.71675947747,22.1091632514532,-2134.85073052639,-2112.74156727494,7745.27052663881
30390,337.780650196612,5477.4685556122,21.961772638772,-2134.70337142426,-2112.74159878549,7745.27052663881
30400,331.73800873792,5640.91401477236,21.5688930650718,-2134.3104703049,-2112.74157723983,7745.27052663881
30410,322.71472014164,5664.67021192653,20.9822182141288,-2133.72368912105,-2112.74147090692,7745.27052663881
30420,313.356471821726,5585.82319187664,20.3737650011354,-2133.11508516419,-2112.74132016305,7745.27052663881
30430,307.270633477711,5381.96044153206,19.9780768586981,-2132.71926732829,-2112.74119046959,7745.27052663881
30440,307.474754464975,5007.78322709748,19.991348367029,-2132.73250499203,-2112.741156625,7745.27052663881
30450,314.64984458438,4472.80699288526,20.4578573212078,-2133.19911816258,-2112.74126084137,7745.27052663881
30460,326.325260690796,3852.41694238494,21.2169678085697,-2133.95841596998,-2112.74144816141,7745.27052663881
30470,338.121274569679,3192.36427262435,21.9839193041661,-2134.72554132226,-2112.74162201809,7745.27052663881
30480,345.965458905628,2494.24472867213,22.4939313277159,-2135.23563113851,-2112.74169981079,7745.27052663881
30490,347.937684605189,1765.30852290377,22.6221612082046,-2135.36382164797,-2112.74166043977,7745.27052663881
30500,344.7954564566,1112.71746900613,22.4178602805514,-2135.1594021523,-2112.74154187175,7745.27052663881
30510,339.079868416008,734.545619651943,22.0462450178911,-2134.78766935963,-2112.74142434174,7745.27052663881
30520,333.405695070444,691.811473737893,21.6773224497816,-2134.41868386852,-2112.74136141874,7745.27052663881
30530,329.331662678231,945.690994848867,21.4124376108523,-2134.15377491814,-2112.74133730729,7745.27052663881
30540,327.677413259894,1407.88972408171,21.304881865453,-2134.04618134242,-2112.74129947696,7745.27052663881
30550,329.316570270776,2005.8122492967,21.4114563349239,-2134.15275340807,-2112.74129707314,7745.27052663881
30560,334.226261283752,2709.56181181681,21.7306739031619,-2134.47206654481,-2112.74139264164,7745.27052663881
30570,340.226847248447,3454.72424710016,22.1208191189383,-2134.86236825261,-2112.74154913367,7745.27052663881
30580,343.827589046407,4159.6657130328,22.3549316196149,-2135.09658182452,-2112.74165020491,7745.27052663881
30590,342.654915021832,4836.39626934538,22.2786868723444,-2135.02033168098,-2112.74164480863,7745.27052663881
30600,336.955352092213,5388.16774659224,21.9081135279927,-2134.64961390185,-2112.74150037385,7745.27052663881
30610,329.963821896566,5701.69577955742,21.4535392459415,-2134.19485966165,-2112.74132041571,7745.27052663881
30620,325.679524567971,5737.95401436718,21.1749834323011,-2133.91624063555,-2112.74125720325,7745.27052663881
30630,325.698773007631,5537.44818438732,21.1762349245201,-2133.91757251287,-2112.74133758835,7745.27052663881
30640,328.422367049128,5184.63927698879,21.3533171613648,-2134.09479033776,-2112.7414731764,7745.27052663881
30650,330.903255984767,4736.45826950144,21.5146192333302,-2134.25615890855,-2112.74153967522,7745.27052663881
30660,331.319084389585,4279.61186600916,21.5416555034009,-2134.2831958745,-2112.7415403711,7745.27052663881
30670,329.306809998814,3916.56987110735,21.4108217429969,-2134.15232303537,-2112.74150129237,7745.27052663881
30680,325.608042832918,3751.68865711484,21.1703358433638,-2133.91176386394,-2112.74142802058,7745.27052663881
30690,321.869539982906,3804.78614001995,20.9272664148647,-2133.66863068063,-2112.74136426577,7745.27052663881
30700,319.746124305786,3922.57431752226,20.7892064866498,-2133.53053283242,-2112.74132634577,7745.27052663881
30710,320.247467623647,4039.7988990529,20.8218027527604,-2133.56312530779,-2112.74132255503,7745.27052663881
30720,323.293269058427,4159.03745267605,21.0198342225162,-2133.76122793086,-2112.74139370834,7745.27052663881
30730,327.206396372163,4272.52497449103,21.2742573587166,-2134.01575380789,-2112.74149644917,7745.27052663881
30740,329.659136975315,4376.65489924056,21.43372928654,-2134.17528143678,-2112.74155215024,7745.27052663881
30750,329.36357694886,4489.99577349914,21.4145126082065,-2134.15604200878,-2112.74152940057,7745.27052663881
30760,326.815231233425,4680.20635394442,21.2488246412528,-2133.99028947883,-2112.74146483758,7745.27052663881
30770,323.634236020469,5013.9206157749,21.0420031623099,-2133.78340210731,-2112.74139894501,7745.27052663881
30780,321.598812211715,5367.18487248695,20.909664276452,-2133.65100386669,-2112.74133959023,7745.27052663881
30790,322.261210176797,5534.84722266119,20.9527319699301,-2133.69403252749,-2112.74130055756,7745.27052663881
30800,326.463499615716,5422.17519035836,21.2259558066601,-2133.96729913741,-2112.74134333075,7745.27052663881
30810,333.208511677861,5095.93773717092,21.6645020089614,-2134.40596974523,-2112.74146773627,7745.27052663881
30820,339.706782072374,4648.95997195102,22.0870055978037,-2134.82861207821,-2112.7416064804,7745.27052663881
30830,342.833008757106,4224.03661524319,22.2902661446331,-2135.03195142089,-2112.74168527625,7745.27052663881
